3,-0.13793,51.513418
2,-0.137883,51.513361
1,-0.137853,51.513317
1,-0.137812,51.513262
4,-0.137767,51.513204
2,-0.137537,51.513184
2,-0.1382,51.513359
2,-0.138045,51.513328
3,-0.138276,51.513323
2,-0.138223,51.513427
2,-0.138337,51.513381
1,-0.138563,51.513462
3,-0.138426,51.513216
1,-0.138378,51.513169
4,-0.138337,51.513116
1,-0.138645,51.51324
1,-0.138698,51.513164
1,-0.137924,51.513178
4,-0.137865,51.513111
3,-0.137811,51.513055
2,-0.138762,51.513441
1,-0.138799,51.513592
2,-0.139045,51.513402
2,-0.13897,51.51338
2,-0.138863,51.513411
1,-0.138752,51.513641
1,-0.138808,51.513693
3,-0.138856,51.513745
1,-0.138887,51.513676
1,-0.139239,51.51359
1,-0.139321,51.513663
1,-0.139316,51.513502
2,-0.139616,51.513583
2,-0.139719,51.513541
1,-0.140074,51.513298
1,-0.139094,51.513291
1,-0.139697,51.513013
1,-0.139327,51.512965
2,-0.139317,51.512893
8,-0.139187,51.512964
2,-0.139036,51.513025
1,-0.139209,51.513027
1,-0.138427,51.512831
1,-0.138624,51.512885
1,-0.138096,51.512526
1,-0.138035,51.512465
4,-0.137984,51.512428
1,-0.138065,51.512415
1,-0.138194,51.51251
1,-0.137818,51.512378
1,-0.137656,51.512447
4,-0.137584,51.512491
1,-0.13765,51.512374
1,-0.13745,51.512339
1,-0.137376,51.512364
1,-0.137327,51.512319
1,-0.13698,51.51254
2,-0.13718,51.512649
1,-0.137052,51.512692
1,-0.137695,51.512957
1,-0.137533,51.512765
2,-0.137419,51.51278
1,-0.137368,51.512726
1,-0.137325,51.512681
2,-0.137531,51.512914
2,-0.137562,51.513046
1,-0.137466,51.513074
2,-0.137386,51.513087
3,-0.137306,51.513122
1,-0.137089,51.513187
4,-0.136996,51.513214
15,-0.136859,51.513249
3,-0.136778,51.513271
4,-0.136705,51.5133
5,-0.136493,51.51316
2,-0.13633,51.513016
1,-0.136424,51.512921
2,-0.136523,51.51289
1,-0.136599,51.512859,
1,-0.136699,51.51283
1,-0.136819,51.512782
1,-0.136973,51.512729
1,-0.136358,51.512868
1,-0.13663,51.512723
1,-0.136584,51.512654
1,-0.136423,51.512713
1,-0.136345,51.512615
1,-0.136437,51.512491
1,-0.136377,51.512449
1,-0.136197,51.512465
1,-0.136142,51.512413
2,-0.136102,51.512358
1,-0.13603,51.512271
1,-0.13631,51.512355
4,-0.13594,51.511991
2,-0.135858,51.512083
1,-0.1358,51.512031
4,-0.135717,51.51197
4,-0.135119,51.511882
1,-0.135144,51.51205
4,-0.135394,51.51225
1,-0.135409,51.512162
1,-0.135472,51.512212
2,-0.135765,51.512573
1,-0.135871,51.512575
2,-0.135976,51.512672
3,-0.136033,51.512727
1,-0.136115,51.512794
4,-0.13618,51.512846
1,-0.136083,51.512879
1,-0.136139,51.512939
7,-0.135329,51.512765
3,-0.135122,51.512844
8,-0.134645,51.512532
1,-0.134522,51.512198
1,-0.134967,51.512215
5,-0.135098,51.513154
8,-0.134394,51.513056
2,-0.134505,51.513165
1,-0.134437,51.513098
